Title,Description
Dynamic Evolving Neural-Fuzzy Inference System  (DENFIS),Dynamic Evolving Neural-Fuzzy Inference System  (DENFIS)is a machine learning model.It is used for Regression. It is a Rule-Based Model. 
Stacked AutoEncoder Deep Neural Network (dnn),Stacked AutoEncoder Deep Neural Network (dnn)is a machine learning model.It is used for Classification. It is used for Regression. It has Neural Network. 
Linear Distance Weighted Discrimination (dwdLinear),Linear Distance Weighted Discrimination (dwdLinear)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Distance Weighted Discrimination. It has Kernel Method. It has L2 Regularization. It has Linear Classifier. It has Two Class Only. 
Distance Weighted Discrimination with Polynomial Kernel (dwdPoly),Distance Weighted Discrimination with Polynomial Kernel (dwdPoly)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Distance Weighted Discrimination. It has Kernel Method. It has L2 Regularization. It is a Polynomial Model. It has Two Class Only. 
Distance Weighted Discrimination with Radial Basis Function Kernel (dwdRadial),Distance Weighted Discrimination with Radial Basis Function Kernel (dwdRadial)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Distance Weighted Discrimination. It has Kernel Method. It has L2 Regularization. It has Radial Basis Function. It has Two Class Only. 
Multivariate Adaptive Regression Spline (earth),Multivariate Adaptive Regression Spline (earth)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Implicit Feature Selection. It has Multivariate Adaptive Regression Splines. 
Extreme Learning Machine (elm),Extreme Learning Machine (elm)is a machine learning model.It is used for Classification. It is used for Regression. It has Neural Network. 
Elasticnet (enet),Elasticnet (enet)is a machine learning model.It is used for Regression. It has Implicit Feature Selection. It has L1 Regularization. It has Linear Regression. 
Tree Models from Genetic Algorithms (evtree),Tree Models from Genetic Algorithms (evtree)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Implicit Feature Selection. It is a Tree-Based Model. 
Random Forest by Randomization (extraTrees),Random Forest by Randomization (extraTrees)is a machine learning model.It is used for Classification. It is used for Regression. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Random Forest. 
Flexible Discriminant Analysis (fda),Flexible Discriminant Analysis (fda)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Implicit Feature Selection. It has Multivariate Adaptive Regression Splines. 
Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh (FH.GBML),Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh (FH.GBML)is a machine learning model.It is used for Classification. It is a Rule-Based Model. 
Fuzzy Inference Rules by Descent Method (FIR.DM),Fuzzy Inference Rules by Descent Method (FIR.DM)is a machine learning model.It is used for Regression. It is a Rule-Based Model. 
Ridge Regression with Variable Selection (foba),Ridge Regression with Variable Selection (foba)is a machine learning model.It is used for Regression. It has Feature Selection Wrapper. It has L2 Regularization. It has Linear Regression. It has Ridge Regression. 
Fuzzy Rules Using Chi's Method (FRBCS.CHI),Fuzzy Rules Using Chi's Method (FRBCS.CHI)is a machine learning model.It is used for Classification. It is a Rule-Based Model. 
Fuzzy Rules with Weight Factor (FRBCS.W),Fuzzy Rules with Weight Factor (FRBCS.W)is a machine learning model.It is used for Classification. It is a Rule-Based Model. 
Simplified TSK Fuzzy Rules (FS.HGD),Simplified TSK Fuzzy Rules (FS.HGD)is a machine learning model.It is used for Regression. It is a Rule-Based Model. 
Generalized Additive Model using Splines (gam),Generalized Additive Model using Splines (gam)is a machine learning model.It is used for Classification. It is used for Regression. It is a Generalized Additive Model. It is a Generalized Linear Model. 
Boosted Generalized Additive Model (gamboost),Boosted Generalized Additive Model (gamboost)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Boosting. It is a Ensemble Model. It is a Generalized Additive Model. It has Implicit Feature Selection. It has Two Class Only. 
Generalized Additive Model using LOESS (gamLoess),Generalized Additive Model using LOESS (gamLoess)is a machine learning model.It is used for Classification. It is used for Regression. It is a Generalized Additive Model. It is a Generalized Linear Model. 
Generalized Additive Model using Splines (gamSpline),Generalized Additive Model using Splines (gamSpline)is a machine learning model.It is used for Classification. It is used for Regression. It is a Generalized Additive Model. It is a Generalized Linear Model. 
Gaussian Process (gaussprLinear),Gaussian Process (gaussprLinear)is a machine learning model.It is used for Classification. It is used for Regression. It has Gaussian Process. It has Kernel Method. It has Linear Classifier. 
Gaussian Process with Polynomial Kernel (gaussprPoly),Gaussian Process with Polynomial Kernel (gaussprPoly)is a machine learning model.It is used for Classification. It is used for Regression. It has Gaussian Process. It has Kernel Method. It is a Polynomial Model. 
Gaussian Process with Radial Basis Function Kernel (gaussprRadial),Gaussian Process with Radial Basis Function Kernel (gaussprRadial)is a machine learning model.It is used for Classification. It is used for Regression. It has Gaussian Process. It has Kernel Method. It has Radial Basis Function. 
Gradient Boosting Machines (gbm_h2o),Gradient Boosting Machines (gbm_h2o)is a machine learning model.It is used for Classification. It is used for Regression. It has Boosting. It is a Ensemble Model. It has Implicit Feature Selection. It is a Tree-Based Model. 
Stochastic Gradient Boosting (gbm),Stochastic Gradient Boosting (gbm)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Boosting. It is a Ensemble Model. It has Implicit Feature Selection. It is a Tree-Based Model. 
Multivariate Adaptive Regression Splines (gcvEarth),Multivariate Adaptive Regression Splines (gcvEarth)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Implicit Feature Selection. It has Multivariate Adaptive Regression Splines. 
Fuzzy Rules via MOGUL (GFS.FR.MOGUL),Fuzzy Rules via MOGUL (GFS.FR.MOGUL)is a machine learning model.It is used for Regression. It is a Rule-Based Model. 
Genetic Lateral Tuning and Rule Selection of Linguistic Fuzzy Systems (GFS.LT.RS),Genetic Lateral Tuning and Rule Selection of Linguistic Fuzzy Systems (GFS.LT.RS)is a machine learning model.It is used for Regression. It is a Rule-Based Model. 
Fuzzy Rules via Thrift (GFS.THRIFT),Fuzzy Rules via Thrift (GFS.THRIFT)is a machine learning model.It is used for Regression. It is a Rule-Based Model. 
Negative Binomial Generalized Linear Model (glm.nb),Negative Binomial Generalized Linear Model (glm.nb)is a machine learning model.It is used for Regression. It Accepts Case Weights. It is a Generalized Linear Model. 
Generalized Linear Model (glm),Generalized Linear Model (glm)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It is a Generalized Linear Model. It has Linear Classifier. It has Two Class Only. 
Boosted Generalized Linear Model (glmboost),Boosted Generalized Linear Model (glmboost)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Boosting. It is a Ensemble Model. It is a Generalized Linear Model. It has Linear Classifier. It has Two Class Only. 
glmnet (glmnet_h2o),glmnet (glmnet_h2o)is a machine learning model.It is used for Classification. It is used for Regression. It is a Generalized Linear Model. It has Implicit Feature Selection. It has L1 Regularization. It has L2 Regularization. It has Linear Classifier. It has Linear Regression. It has Two Class Only. 
glmnet (glmnet),glmnet (glmnet)is a machine learning model.It is used for Classification. It is used for Regression. It is a Generalized Linear Model. It has Implicit Feature Selection. It has L1 Regularization. It has L2 Regularization. It has Linear Classifier. It has Linear Regression. 
Generalized Linear Model with Stepwise Feature Selection (glmStepAIC),Generalized Linear Model with Stepwise Feature Selection (glmStepAIC)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Feature Selection Wrapper. It is a Generalized Linear Model. It has Implicit Feature Selection. It has Linear Classifier. It has Two Class Only. 
Generalized Partial Least Squares (gpls),Generalized Partial Least Squares (gpls)is a machine learning model.It is used for Classification. It has Linear Classifier. It has Logistic Regression. It has Partial Least Squares. 
Heteroscedastic Discriminant Analysis (hda),Heteroscedastic Discriminant Analysis (hda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. It has Regularization. 
High Dimensional Discriminant Analysis (hdda),High Dimensional Discriminant Analysis (hdda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. 
High-Dimensional Regularized Discriminant Analysis (hdrda),High-Dimensional Regularized Discriminant Analysis (hdrda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. It is a Polynomial Model. It has Regularization. 
Hybrid Neural Fuzzy Inference System (HYFIS),Hybrid Neural Fuzzy Inference System (HYFIS)is a machine learning model.It is used for Regression. It is a Rule-Based Model. 
Independent Component Regression (icr),Independent Component Regression (icr)is a machine learning model.It is used for Regression. It has Feature Extraction. It has Linear Regression. 
C4.5-like Trees (J48),C4.5-like Trees (J48)is a machine learning model.It is used for Classification. It has Implicit Feature Selection. It is a Tree-Based Model. 
Rule-Based Classifier (JRip),Rule-Based Classifier (JRip)is a machine learning model.It is used for Classification. It has Implicit Feature Selection. It is a Rule-Based Model. 
Partial Least Squares (kernelpls),Partial Least Squares (kernelpls)is a machine learning model.It is used for Classification. It is used for Regression. It has Feature Extraction. It has Kernel Method. It has Linear Classifier. It has Linear Regression. It has Partial Least Squares. 
k-Nearest Neighbors (kknn),k-Nearest Neighbors (kknn)is a machine learning model.It is used for Classification. It is used for Regression. It is a Prototype Models. 
k-Nearest Neighbors (knn),k-Nearest Neighbors (knn)is a machine learning model.It is used for Classification. It is used for Regression. It is a Prototype Models. 
Polynomial Kernel Regularized Least Squares (krlsPoly),Polynomial Kernel Regularized Least Squares (krlsPoly)is a machine learning model.It is used for Regression. It has Kernel Method. It has L2 Regularization. It is a Polynomial Model. 
Radial Basis Function Kernel Regularized Least Squares (krlsRadial),Radial Basis Function Kernel Regularized Least Squares (krlsRadial)is a machine learning model.It is used for Regression. It has Kernel Method. It has L2 Regularization. It has Radial Basis Function. 
Least Angle Regression (lars),Least Angle Regression (lars)is a machine learning model.It is used for Regression. It has Implicit Feature Selection. It has L1 Regularization. It has Linear Regression. 
Least Angle Regression (lars2),Least Angle Regression (lars2)is a machine learning model.It is used for Regression. It has Implicit Feature Selection. It has L1 Regularization. It has Linear Regression. 
The lasso (lasso),The lasso (lasso)is a machine learning model.It is used for Regression. It has Implicit Feature Selection. It has L1 Regularization. It has Linear Regression. 
Linear Discriminant Analysis (lda),Linear Discriminant Analysis (lda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. 
Linear Discriminant Analysis (lda2),Linear Discriminant Analysis (lda2)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. 
Linear Regression with Backwards Selection (leapBackward),Linear Regression with Backwards Selection (leapBackward)is a machine learning model.It is used for Regression. It has Feature Selection Wrapper. It has Linear Regression. 
Linear Regression with Forward Selection (leapForward),Linear Regression with Forward Selection (leapForward)is a machine learning model.It is used for Regression. It has Feature Selection Wrapper. It has Linear Regression. 
Linear Regression with Stepwise Selection (leapSeq),Linear Regression with Stepwise Selection (leapSeq)is a machine learning model.It is used for Regression. It has Feature Selection Wrapper. It has Linear Regression. 
Robust Linear Discriminant Analysis (Linda),Robust Linear Discriminant Analysis (Linda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. It is a Robust Model. 
Linear Regression (lm),Linear Regression (lm)is a machine learning model.It is used for Regression. It Accepts Case Weights. It has Linear Regression. 
Linear Regression with Stepwise Selection (lmStepAIC),Linear Regression with Stepwise Selection (lmStepAIC)is a machine learning model.It is used for Regression. It Accepts Case Weights. It has Feature Selection Wrapper. It has Linear Regression. 
Logistic Model Trees (LMT),Logistic Model Trees (LMT)is a machine learning model.It is used for Classification. It has Implicit Feature Selection. It has Linear Classifier. It has Logistic Regression. It is a Model Tree. 
Localized Linear Discriminant Analysis (loclda),Localized Linear Discriminant Analysis (loclda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. 
Bagged Logic Regression (logicBag),Bagged Logic Regression (logicBag)is a machine learning model.It is used for Classification. It is used for Regression. It has Bagging. It has Binary Predictors Only. It is a Ensemble Model. It has Linear Classifier. It has Linear Regression. It has Logic Regression. It has Logistic Regression. It has Two Class Only. 
Boosted Logistic Regression (LogitBoost),Boosted Logistic Regression (LogitBoost)is a machine learning model.It is used for Classification. It has Boosting. It is a Ensemble Model. It has Implicit Feature Selection. It has Logistic Regression. It is a Tree-Based Model. 
Logic Regression (logreg),Logic Regression (logreg)is a machine learning model.It is used for Classification. It is used for Regression. It has Binary Predictors Only. It has Linear Classifier. It has Linear Regression. It has Logic Regression. It has Logistic Regression. It has Two Class Only. 
Least Squares Support Vector Machine (lssvmLinear),Least Squares Support Vector Machine (lssvmLinear)is a machine learning model.It is used for Classification. It has Kernel Method. It has Linear Classifier. It has Support Vector Machines. 
Least Squares Support Vector Machine with Polynomial Kernel (lssvmPoly),Least Squares Support Vector Machine with Polynomial Kernel (lssvmPoly)is a machine learning model.It is used for Classification. It has Kernel Method. It is a Polynomial Model. It has Support Vector Machines. 
Least Squares Support Vector Machine with Radial Basis Function Kernel (lssvmRadial),Least Squares Support Vector Machine with Radial Basis Function Kernel (lssvmRadial)is a machine learning model.It is used for Classification. It has Kernel Method. It has Radial Basis Function. It has Support Vector Machines. 
Learning Vector Quantization (lvq),Learning Vector Quantization (lvq)is a machine learning model.It is used for Classification. It is a Prototype Models. 
Model Tree (M5),Model Tree (M5)is a machine learning model.It is used for Regression. It has Implicit Feature Selection. It has Linear Regression. It is a Model Tree. It is a Rule-Based Model. It is a Tree-Based Model. 
Model Rules (M5Rules),Model Rules (M5Rules)is a machine learning model.It is used for Regression. It has Implicit Feature Selection. It has Linear Regression. It is a Model Tree. It is a Rule-Based Model. 
Model Averaged Naive Bayes Classifier (manb),Model Averaged Naive Bayes Classifier (manb)is a machine learning model.It is used for Classification. It is a Bayesian Model. It has Categorical Predictors Only. 
Mixture Discriminant Analysis (mda),Mixture Discriminant Analysis (mda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It is a Mixture Model. 
Maximum Uncertainty Linear Discriminant Analysis (Mlda),Maximum Uncertainty Linear Discriminant Analysis (Mlda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. 
Multi-Layer Perceptron (mlp),Multi-Layer Perceptron (mlp)is a machine learning model.It is used for Classification. It is used for Regression. It has Neural Network. 
Multilayer Perceptron Network with Weight Decay (mlpKerasDecay),Multilayer Perceptron Network with Weight Decay (mlpKerasDecay)is a machine learning model.It is used for Classification. It is used for Regression. It has L2 Regularization. It has Neural Network. 
Multilayer Perceptron Network with Weight Decay (mlpKerasDecayCost),Multilayer Perceptron Network with Weight Decay (mlpKerasDecayCost)is a machine learning model.It is used for Classification. It has Cost Sensitive Learning. It has L2 Regularization. It has Neural Network. It has Two Class Only. 
Multilayer Perceptron Network with Dropout (mlpKerasDropout),Multilayer Perceptron Network with Dropout (mlpKerasDropout)is a machine learning model.It is used for Classification. It is used for Regression. It has Neural Network. 
Multilayer Perceptron Network with Dropout (mlpKerasDropoutCost),Multilayer Perceptron Network with Dropout (mlpKerasDropoutCost)is a machine learning model.It is used for Classification. It has Cost Sensitive Learning. It has Neural Network. It has Two Class Only. 
"Multi-Layer Perceptron, with multiple layers (mlpML)","Multi-Layer Perceptron, with multiple layers (mlpML)is a machine learning model.It is used for Classification. It is used for Regression. It has Neural Network. "
Multilayer Perceptron Network by Stochastic Gradient Descent (mlpSGD),Multilayer Perceptron Network by Stochastic Gradient Descent (mlpSGD)is a machine learning model.It is used for Classification. It is used for Regression. It has L2 Regularization. It has Neural Network. 
Multi-Layer Perceptron (mlpWeightDecay),Multi-Layer Perceptron (mlpWeightDecay)is a machine learning model.It is used for Classification. It is used for Regression. It has L2 Regularization. It has Neural Network. 
"Multi-Layer Perceptron, multiple layers (mlpWeightDecayML)","Multi-Layer Perceptron, multiple layers (mlpWeightDecayML)is a machine learning model.It is used for Classification. It is used for Regression. It has L2 Regularization. It has Neural Network. "
Monotone Multi-Layer Perceptron Neural Network (monmlp),Monotone Multi-Layer Perceptron Neural Network (monmlp)is a machine learning model.It is used for Classification. It is used for Regression. It has Neural Network. 
Multi-Step Adaptive MCP-Net (msaenet),Multi-Step Adaptive MCP-Net (msaenet)is a machine learning model.It is used for Classification. It is used for Regression. It is a Generalized Linear Model. It has Implicit Feature Selection. It has L1 Regularization. It has L2 Regularization. It has Linear Classifier. It has Linear Regression. 
Penalized Multinomial Regression (multinom),Penalized Multinomial Regression (multinom)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has L2 Regularization. It has Linear Classifier. It has Logistic Regression. It has Neural Network. 
Neural Network (mxnet),Neural Network (mxnet)is a machine learning model.It is used for Classification. It is used for Regression. It has Neural Network. 
Neural Network (mxnetAdam),Neural Network (mxnetAdam)is a machine learning model.It is used for Classification. It is used for Regression. It has Neural Network. 
Naive Bayes (naive_bayes),Naive Bayes (naive_bayes)is a machine learning model.It is used for Classification. It is a Bayesian Model. 
Naive Bayes (nb),Naive Bayes (nb)is a machine learning model.It is used for Classification. It is a Bayesian Model. 
Naive Bayes Classifier (nbDiscrete),Naive Bayes Classifier (nbDiscrete)is a machine learning model.It is used for Classification. It is a Bayesian Model. It has Categorical Predictors Only. 
Semi-Naive Structure Learner Wrapper (nbSearch),Semi-Naive Structure Learner Wrapper (nbSearch)is a machine learning model.It is used for Classification. It is a Bayesian Model. It has Categorical Predictors Only. 
Neural Network (neuralnet),Neural Network (neuralnet)is a machine learning model.It is used for Regression. It has Neural Network. 
Neural Network (nnet),Neural Network (nnet)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has L2 Regularization. It has Neural Network. 
Non-Negative Least Squares (nnls),Non-Negative Least Squares (nnls)is a machine learning model.It is used for Regression. It has Linear Regression. 
Tree-Based Ensembles (nodeHarvest),Tree-Based Ensembles (nodeHarvest)is a machine learning model.It is used for Classification. It is used for Regression. It is a Ensemble Model. It has Implicit Feature Selection. It is a Tree-Based Model. It has Two Class Only. 
Non-Informative Model (null),Non-Informative Model (null)is a machine learning model.It is used for Classification. It is used for Regression. 
Single Rule Classification (OneR),Single Rule Classification (OneR)is a machine learning model.It is used for Classification. It has Implicit Feature Selection. It is a Rule-Based Model. 
Penalized Ordinal Regression (ordinalNet),Penalized Ordinal Regression (ordinalNet)is a machine learning model.It is used for Classification. It is a Generalized Linear Model. It has Implicit Feature Selection. It has L1 Regularization. It has L2 Regularization. It has Linear Classifier. It has Linear Regression. It has Ordinal Outcomes. 
Random Forest (ordinalRF),Random Forest (ordinalRF)is a machine learning model.It is used for Classification. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Ordinal Outcomes. It has Random Forest. 
Oblique Random Forest (ORFlog),Oblique Random Forest (ORFlog)is a machine learning model.It is used for Classification. It is a Ensemble Model. It has Implicit Feature Selection. It has Logistic Regression. It has Oblique Tree. It has Random Forest. It has Two Class Only. 
Oblique Random Forest (ORFpls),Oblique Random Forest (ORFpls)is a machine learning model.It is used for Classification. It is a Ensemble Model. It has Implicit Feature Selection. It has Oblique Tree. It has Partial Least Squares. It has Random Forest. It has Two Class Only. 
Oblique Random Forest (ORFridge),Oblique Random Forest (ORFridge)is a machine learning model.It is used for Classification. It is a Ensemble Model. It has Implicit Feature Selection. It has L2 Regularization. It has Oblique Tree. It has Random Forest. It has Ridge Regression. It has Two Class Only. 
Oblique Random Forest (ORFsvm),Oblique Random Forest (ORFsvm)is a machine learning model.It is used for Classification. It is a Ensemble Model. It has Implicit Feature Selection. It has Kernel Method. It has Oblique Tree. It has Random Forest. It has Two Class Only. 
Optimal Weighted Nearest Neighbor Classifier (ownn),Optimal Weighted Nearest Neighbor Classifier (ownn)is a machine learning model.It is used for Classification. It is a Prototype Models. 
Nearest Shrunken Centroids (pam),Nearest Shrunken Centroids (pam)is a machine learning model.It is used for Classification. It has Implicit Feature Selection. It has Linear Classifier. It is a Prototype Models. 
Parallel Random Forest (parRF),Parallel Random Forest (parRF)is a machine learning model.It is used for Classification. It is used for Regression. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Random Forest. 
Rule-Based Classifier (PART),Rule-Based Classifier (PART)is a machine learning model.It is used for Classification. It has Implicit Feature Selection. It is a Rule-Based Model. 
partDSA (partDSA),partDSA (partDSA)is a machine learning model.It is used for Classification. It is used for Regression. 
