Question,Answer,Score
What is Quantile Random Forest?,Quantile Random Forest is a model of machine learning used for regression.,0.8975274241473675
How i use Multivariate Adaptive Regression Spline?,Multivariate Adaptive Regression Spline is implemented in Caret under the library earth. The method in Caret to use this model is earth.,0.8640614106266976
What is SIMCA?,SIMCA is a model of machine learning used for classification.,0.8569356075718373
What are the tuning parameters of Ordered Logistic or Probit Regression?,Ordered Logistic or Probit Regression have the following tuning parameters: method.,1.0487617582461874
What are the tuning parameters of Least Angle Regression?,Least Angle Regression have the following tuning parameters: step.,0.8753955545055577
What is Robust Linear Model?,Robust Linear Model is a model of machine learning used for regression.,0.8529524919925988
How i use Bagged Model?,Bagged Model is implemented in Caret under the library caret. The method in Caret to use this model is bag.,0.9983630100257356
What is Naive Bayes?,Naive Bayes is a model of machine learning used for classification.,0.9590272601720804
What are the tuning parameters of Support Vector Machines with Exponential String Kernel?,"Support Vector Machines with Exponential String Kernel have the following tuning parameters: lambda, C.",0.8698851737512211
What are the tuning parameters of Quantile Random Forest?,Quantile Random Forest have the following tuning parameters: mtry.,0.9476932409753654
What is Random Forest by Randomization?,Random Forest by Randomization is a model of machine learning used for classification and regression.,0.9663351088259406
What is Heteroscedastic Discriminant Analysis?,Heteroscedastic Discriminant Analysis is a model of machine learning used for classification.,0.8657589637347414
What is Regularized Discriminant Analysis?,Regularized Discriminant Analysis is a model of machine learning used for regression.,-0.8892547548961304
What is Linear Regression with Backwards Selection?,Linear Regression with Backwards Selection is a model of machine learning used for regression.,0.9227086352540064
What is the arules package?,"Provides the infrastructure for representing, manipulating and analyzing transaction data and patterns (frequent itemsets and association rules). Also provides C implementations of the association mining algorithms Apriori and Eclat. Hahsler, Gruen and Hornik (2005) <doi:10.18637/jss.v014.i15>.",0.7838821611665908
What is Oblique Random Forest?,Oblique Random Forest is a model of machine learning used for classification.,0.7656255609198216
What is Sparse Distance Weighted Discrimination?,Sparse Distance Weighted Discrimination is a model of machine learning used for regression.,-0.8493733762832552
How i use Linear Regression with Forward Selection?,Linear Regression with Forward Selection is implemented in Caret under the library leaps. The method in Caret to use this model is leapForward.,0.8035675622187161
What is Generalized Partial Least Squares?,Generalized Partial Least Squares is a model of machine learning used for regression.,-0.7828378071597737
What is Dynamic Evolving Neural-Fuzzy Inference System?,Dynamic Evolving Neural-Fuzzy Inference System is a model of machine learning used for regression.,0.7800822160421219
What is Ridge Regression?,Ridge Regression is a model of machine learning used for classification.,-0.8988718594922636
What are the tuning parameters of Multi-Step Adaptive MCP-Net?,"Multi-Step Adaptive MCP-Net have the following tuning parameters: alphas, nsteps, scale.",1.035832060935929
What are the tuning parameters of Bayesian Ridge Regression (Model Averaged)?,Bayesian Ridge Regression (Model Averaged) have the following tuning parameters: None.,0.8743905533329007
What are the tuning parameters of Bagged FDA using gCV Pruning?,Bagged FDA using gCV Pruning have the following tuning parameters: degree.,1.287451277860265
What are the tuning parameters of Support Vector Machines with Linear Kernel?,Support Vector Machines with Linear Kernel have the following tuning parameters: C.,0.9854588918913676
What is the SuperLearner package?,Implements the super learner prediction method and contains a library of prediction algorithms to be used in the super learner.,0.9955101369794868
What are the tuning parameters of Model Tree?,"Model Tree have the following tuning parameters: pruned, smoothed, rules.",0.8936300013319856
How i use Bagged CART?,"Bagged CART is implemented in Caret under the library ipred, plyr, e1071. The method in Caret to use this model is treebag.",0.9215668730051128
What is The Bayesian lasso?,The Bayesian lasso is a model of machine learning used for classification.,-0.8194134352438442
What is Penalized Ordinal Regression?,Penalized Ordinal Regression is a model of machine learning used for regression.,-0.956973844092483
What is Naive Bayes Classifier?,Naive Bayes Classifier is a model of machine learning used for classification.,0.94435301196713
What is Bagged FDA using gCV Pruning?,Bagged FDA using gCV Pruning is a model of machine learning used for classification.,0.9798039755978578
How i use Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh?,Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh is implemented in Caret under the library frbs. The method in Caret to use this model is FH.GBML.,0.9889291921483454
What is Variational Bayesian Multinomial Probit Regression?,Variational Bayesian Multinomial Probit Regression is a model of machine learning used for regression.,-0.9546122101145058
What are the tuning parameters of Least Squares Support Vector Machine with Radial Basis Function Kernel?,"Least Squares Support Vector Machine with Radial Basis Function Kernel have the following tuning parameters: sigma, tau.",0.9606385481682528
What is Penalized Linear Regression?,Penalized Linear Regression is a model of machine learning used for classification.,-0.8176560050378155
How i use Bagged Flexible Discriminant Analysis?,"Bagged Flexible Discriminant Analysis is implemented in Caret under the library earth, mda. The method in Caret to use this model is bagFDA.",0.88670149582789
What is Bayesian Regularized Neural Networks?,Bayesian Regularized Neural Networks is a model of machine learning used for classification.,-0.6794037852285955
How i use Robust Quadratic Discriminant Analysis?,Robust Quadratic Discriminant Analysis is implemented in Caret under the library rrcov. The method in Caret to use this model is QdaCov.,0.6321311080939436
What is Least Angle Regression?,Least Angle Regression is a model of machine learning used for classification.,-1.0476958439089836
What are the tuning parameters of Linear Discriminant Analysis?,Linear Discriminant Analysis have the following tuning parameters: dimen.,0.9828162767236078
How i use Generalized Linear Model?,Generalized Linear Model is implemented in Caret under the library . The method in Caret to use this model is glm.,1.108667405861692
What is eXtreme Gradient Boosting?,eXtreme Gradient Boosting is a model of machine learning used for classification and regression.,1.0413741382678356
What is the Rmalschains package?,An implementation of an algorithm family for continuous optimization called memetic algorithms with local search chains (MA-LS-Chains). Memetic algorithms are hybridizations of genetic algorithms with local search methods. They are especially suited for continuous optimization.,0.9643815103053532
What are the tuning parameters of Least Squares Support Vector Machine with Polynomial Kernel?,"Least Squares Support Vector Machine with Polynomial Kernel have the following tuning parameters: degree, scale, tau.",0.9682274413929984
What are the tuning parameters of Generalized Additive Model using LOESS?,"Generalized Additive Model using LOESS have the following tuning parameters: span, degree.",0.7806829657809766
What is Multilayer Perceptron Network with Dropout?,Multilayer Perceptron Network with Dropout is a model of machine learning used for classification.,0.8533795648944823
What are the tuning parameters of Robust Linear Model?,"Robust Linear Model have the following tuning parameters: intercept, psi.",0.9021123236169696
What are the tuning parameters of Regularized Random Forest?,"Regularized Random Forest have the following tuning parameters: mtry, coefReg.",0.8901878132806337
What are the tuning parameters of Non-Negative Least Squares?,Non-Negative Least Squares have the following tuning parameters: None.,1.016025568612745
How i use partDSA?,partDSA is implemented in Caret under the library partDSA. The method in Caret to use this model is partDSA.,1.0668248428176166
How i use Logistic Model Trees?,Logistic Model Trees is implemented in Caret under the library RWeka. The method in Caret to use this model is LMT.,1.1201502502757918
What is the stabs package?,"Resampling procedures to assess the stability of selected variables with additional finite sample error control for high-dimensional variable selection procedures such as Lasso or boosting. Both, standard stability selection (Meinshausen & Buhlmann, 2010, <doi:10.1111/j.1467-9868.2010.00740.x>) and complementary pairs stability selection with improved error bounds (Shah & Samworth, 2013, <doi:10.1111/j.1467-9868.2011.01034.x>) are implemented. The package can be combined with arbitrary user specified variable selection approaches.",1.0104481532637406
What are the tuning parameters of Patient Rule Induction Method?,"Patient Rule Induction Method have the following tuning parameters: peel.alpha, paste.alpha, mass.min.",0.798271972874713
What are the tuning parameters of Linear Distance Weighted Discrimination?,"Linear Distance Weighted Discrimination have the following tuning parameters: lambda, qval.",0.9939484897724538
What is Penalized Multinomial Regression?,Penalized Multinomial Regression is a model of machine learning used for classification.,0.9199399429563586
What is Supervised Principal Component Analysis?,Supervised Principal Component Analysis is a model of machine learning used for classification.,-0.8047329886640976
How i use Bayesian Ridge Regression?,Bayesian Ridge Regression is implemented in Caret under the library monomvn. The method in Caret to use this model is bridge.,0.7321081490534966
What are the tuning parameters of Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh?,"Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh have the following tuning parameters: max.num.rule, popu.size, max.gen.",0.9157650155313968
What is Multivariate Adaptive Regression Splines?,Multivariate Adaptive Regression Splines is a model of machine learning used for classification and regression.,0.8678149528772592
How i use Sparse Partial Least Squares?,Sparse Partial Least Squares is implemented in Caret under the library spls. The method in Caret to use this model is spls.,0.9068434951024176
What are the tuning parameters of Naive Bayes Classifier?,Naive Bayes Classifier have the following tuning parameters: smooth.,0.8305736064166382
What is Supervised Principal Component Analysis?,Supervised Principal Component Analysis is a model of machine learning used for regression.,0.8558250756456374
What are the tuning parameters of Cost-Sensitive C5.0?,"Cost-Sensitive C5.0 have the following tuning parameters: trials, model, winnow, cost.",0.8169022631026981
What is Conditional Inference Tree?,Conditional Inference Tree is a model of machine learning used for classification and regression.,0.8023098742930095
What is Sparse Linear Discriminant Analysis?,Sparse Linear Discriminant Analysis is a model of machine learning used for regression.,-0.9469118677530722
What are the tuning parameters of Tree Augmented Naive Bayes Classifier?,"Tree Augmented Naive Bayes Classifier have the following tuning parameters: score, smooth.",0.9107958770146928
What are the tuning parameters of Boosted Smoothing Spline?,"Boosted Smoothing Spline have the following tuning parameters: mstop, nu.",1.0677280126749165
What is Non-Informative Model?,Non-Informative Model is a model of machine learning used for classification and regression.,0.8674425949881359
What are the tuning parameters of Polynomial Kernel Regularized Least Squares?,"Polynomial Kernel Regularized Least Squares have the following tuning parameters: lambda, degree.",0.7355443613161916
What are the tuning parameters of eXtreme Gradient Boosting?,"eXtreme Gradient Boosting have the following tuning parameters: nrounds, lambda, alpha, eta.",1.0478630692579272
What is Non-Convex Penalized Quantile Regression?,Non-Convex Penalized Quantile Regression is a model of machine learning used for classification.,-0.8621560884981315
How i use Quantile Regression Neural Network?,Quantile Regression Neural Network is implemented in Caret under the library qrnn. The method in Caret to use this model is qrnn.,0.945066084924794
How i use Naive Bayes Classifier?,Naive Bayes Classifier is implemented in Caret under the library bnclassify. The method in Caret to use this model is nbDiscrete.,1.1248469840417503
What is the C50 package?,"C5.0 decision trees and rule-based models for pattern recognition that extend the work of Quinlan (1993, ISBN:1-55860-238-0).",1.0010726615711496
How i use Generalized Partial Least Squares?,Generalized Partial Least Squares is implemented in Caret under the library gpls. The method in Caret to use this model is gpls.,0.8079791454135434
What is Logistic Model Trees?,Logistic Model Trees is a model of machine learning used for classification.,1.1865139008536951
How i use Model Tree?,Model Tree is implemented in Caret under the library RWeka. The method in Caret to use this model is M5.,1.0810508249550843
How i use Oblique Random Forest?,Oblique Random Forest is implemented in Caret under the library obliqueRF. The method in Caret to use this model is ORFlog.,0.9431282023682676
What is Penalized Logistic Regression?,Penalized Logistic Regression is a model of machine learning used for regression.,-0.9935027202476708
What are the tuning parameters of Gaussian Process?,Gaussian Process have the following tuning parameters: None.,1.021429462979226
What are the tuning parameters of partDSA?,"partDSA have the following tuning parameters: cut.off.growth, MPD.",1.057302168401545
How i use k-Nearest Neighbors?,k-Nearest Neighbors is implemented in Caret under the library kknn. The method in Caret to use this model is kknn.,0.8216705781985663
What is the hda package?,Functions to perform dimensionality reduction for classification if the covariance matrices of the classes are unequal.,0.9301129209367646
What are the tuning parameters of Tree Augmented Naive Bayes Classifier Structure Learner Wrapper?,"Tree Augmented Naive Bayes Classifier Structure Learner Wrapper have the following tuning parameters: k, epsilon, smooth, final_smooth, sp.",0.9789281461763524
What is Monotone Multi-Layer Perceptron Neural Network?,Monotone Multi-Layer Perceptron Neural Network is a model of machine learning used for classification and regression.,0.7529784486077031
What are the tuning parameters of Naive Bayes?,"Naive Bayes have the following tuning parameters: fL, usekernel, adjust.",1.187463565368558
What is the deepnet package?,"Implement some deep learning architectures and neural network algorithms, including BP,RBM,DBN,Deep autoencoder and so on.",0.9584160310133816
What are the tuning parameters of Relevance Vector Machines with Polynomial Kernel?,"Relevance Vector Machines with Polynomial Kernel have the following tuning parameters: scale, degree.",1.0553990273503122
What is Fuzzy Rules via Thrift?,Fuzzy Rules via Thrift is a model of machine learning used for regression.,0.942430055543798
What are the tuning parameters of Generalized Linear Model?,Generalized Linear Model have the following tuning parameters: None.,1.0538835619265603
How i use Support Vector Machines with Class Weights?,Support Vector Machines with Class Weights is implemented in Caret under the library kernlab. The method in Caret to use this model is svmRadialWeights.,0.8678953125982609
How i use eXtreme Gradient Boosting?,"eXtreme Gradient Boosting is implemented in Caret under the library xgboost, plyr. The method in Caret to use this model is xgbDART.",1.0393205904002056
What is Oblique Random Forest?,Oblique Random Forest is a model of machine learning used for regression.,-0.8986119322523454
What is Generalized Additive Model using LOESS?,Generalized Additive Model using LOESS is a model of machine learning used for classification and regression.,0.926441729033612
How i use L2 Regularized Support Vector Machine (dual) with Linear Kernel?,L2 Regularized Support Vector Machine (dual) with Linear Kernel is implemented in Caret under the library LiblineaR. The method in Caret to use this model is svmLinear3.,0.8913889860127707
What is Adaptive Mixture Discriminant Analysis?,Adaptive Mixture Discriminant Analysis is a model of machine learning used for classification.,0.9823838598210328
What is Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh?,Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh is a model of machine learning used for regression.,-0.8716462305869775
What is Least Angle Regression?,Least Angle Regression is a model of machine learning used for regression.,0.8033606461395041
What are the tuning parameters of Stabilized Nearest Neighbor Classifier?,Stabilized Nearest Neighbor Classifier have the following tuning parameters: lambda.,1.0246803888352694
What is the bartMachine package?,An advanced implementation of Bayesian Additive Regression Trees with expanded features for data analysis and visualization.,0.9235398911905373
What are the tuning parameters of Random Forest Rule-Based Model?,"Random Forest Rule-Based Model have the following tuning parameters: mtry, maxdepth.",0.8428018850077155
What is Gradient Boosting Machines?,Gradient Boosting Machines is a model of machine learning used for classification and regression.,1.0273474663250266
What is the BDgraph package?,"Statistical tools for Bayesian structure learning in undirected graphical models for continuous, discrete, and mixed data. The package is implemented the recent improvements in the Bayesian graphical models literature, including Mohammadi and Wit (2015) <doi:10.1214/14-BA889>, Mohammadi and Wit (2019) <doi:10.18637/jss.v089.i03>.",0.9429275302206652
What is Relaxed Lasso?,Relaxed Lasso is a model of machine learning used for classification.,-0.9493747814309478
How i use Regularized Discriminant Analysis?,Regularized Discriminant Analysis is implemented in Caret under the library klaR. The method in Caret to use this model is rda.,1.0356209016799758
What are the tuning parameters of Bayesian Ridge Regression?,Bayesian Ridge Regression have the following tuning parameters: None.,1.0618251037226696
What are the tuning parameters of Model Averaged Naive Bayes Classifier?,"Model Averaged Naive Bayes Classifier have the following tuning parameters: smooth, prior.",1.1256461826921715
What is Model Averaged Naive Bayes Classifier?,Model Averaged Naive Bayes Classifier is a model of machine learning used for regression.,-0.7440565394626916
What is Rotation Forest?,Rotation Forest is a model of machine learning used for regression.,-0.8887849954468624
What is Fuzzy Rules with Weight Factor?,Fuzzy Rules with Weight Factor is a model of machine learning used for classification.,1.019950140955121
What is the penalized package?,"Fitting possibly high dimensional penalized regression models. The penalty structure can be any combination of an L1 penalty (lasso and fused lasso), an L2 penalty (ridge) and a positivity constraint on the regression coefficients. The supported regression models are linear, logistic and Poisson regression and the Cox Proportional Hazards model. Cross-validation routines allow optimization of the tuning parameters.",0.9239575684783284
How i use Penalized Ordinal Regression?,"Penalized Ordinal Regression is implemented in Caret under the library ordinalNet, plyr. The method in Caret to use this model is ordinalNet.",0.9201672500648054
What is the tree package?,Classification and regression trees.,0.8252222544293377
How i use Tree Augmented Naive Bayes Classifier Structure Learner Wrapper?,Tree Augmented Naive Bayes Classifier Structure Learner Wrapper is implemented in Caret under the library bnclassify. The method in Caret to use this model is tanSearch.,0.770548395053557
What is the RWeka package?,"An R interface to Weka (Version 3.9.3). Weka is a collection of machine learning algorithms for data mining tasks written in Java, containing tools for data pre-processing, classification, regression, clustering, association rules, and visualization. Package 'RWeka' contains the interface code, the Weka jar is in a separate package 'RWekajars'. For more information on Weka see <http://www.cs.waikato.ac.nz/ml/weka/>.",0.93647404202872
What is Linear Discriminant Analysis?,Linear Discriminant Analysis is a model of machine learning used for classification.,0.8544089417191341
What is Boosted Classification Trees?,Boosted Classification Trees is a model of machine learning used for regression.,-0.8856355537085653
What is the BayesTree package?,"This is an implementation of BART:Bayesian Additive Regression Trees, by Chipman, George, McCulloch (2010).",0.8926168248034502
What are the tuning parameters of Maximum Uncertainty Linear Discriminant Analysis?,Maximum Uncertainty Linear Discriminant Analysis have the following tuning parameters: None.,0.8591701084553116
What are the tuning parameters of Support Vector Machines with Class Weights?,"Support Vector Machines with Class Weights have the following tuning parameters: sigma, C, Weight.",1.0633722923278652
What are the tuning parameters of Spike and Slab Regression?,Spike and Slab Regression have the following tuning parameters: vars.,1.0272245123222423
What is The lasso?,The lasso is a model of machine learning used for classification.,-0.9267219395514142
What is Single Rule Classification?,Single Rule Classification is a model of machine learning used for classification.,0.9357740198276562
What are the tuning parameters of Greedy Prototype Selection?,"Greedy Prototype Selection have the following tuning parameters: eps, Minkowski.",0.6786035401370427
What is the h2o package?,"R interface for 'H2O', the scalable open source machine learning platform that offers parallelized implementations of many supervised and unsupervised machine learning algorithms such as Generalized Linear Models (GLM), Gradient Boosting Machines (including XGBoost), Random Forests, Deep Neural Networks (Deep Learning), Stacked Ensembles, Naive Bayes, Generalized Additive Models (GAM), ANOVA GLM, Cox Proportional Hazards, K-Means, PCA, ModelSelection, Word2Vec, as well as a fully automatic machine learning algorithm (H2O AutoML).",0.6876975899235342
What is the lasso2 package?,"Routines and documentation for solving regression problems while imposing an L1 constraint on the estimates, based on the algorithm of Osborne et al. (1998).",1.0495119033580158
What is Linear Distance Weighted Discrimination?,Linear Distance Weighted Discrimination is a model of machine learning used for regression.,-0.766707409868438
What is the elasticnet package?,Provides functions for fitting the entire solution path of the Elastic-Net and also provides functions for doing sparse PCA.,0.9127007872153864
What is Sparse Mixture Discriminant Analysis?,Sparse Mixture Discriminant Analysis is a model of machine learning used for classification.,0.7939164528357674
How i use Logic Regression?,Logic Regression is implemented in Caret under the library LogicReg. The method in Caret to use this model is logreg.,0.8600755083233511
How i use Support Vector Machines with Radial Basis Function Kernel?,Support Vector Machines with Radial Basis Function Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is svmRadialSigma.,0.8536849116132781
What are the tuning parameters of Gaussian Process with Radial Basis Function Kernel?,Gaussian Process with Radial Basis Function Kernel have the following tuning parameters: sigma.,0.8767880722416327
How i use Regularized Linear Discriminant Analysis?,Regularized Linear Discriminant Analysis is implemented in Caret under the library sparsediscrim. The method in Caret to use this model is rlda.,0.9385388256255144
What is Stabilized Linear Discriminant Analysis?,Stabilized Linear Discriminant Analysis is a model of machine learning used for regression.,-0.9523513526080734
How i use Bagged AdaBoost?,"Bagged AdaBoost is implemented in Caret under the library adabag, plyr. The method in Caret to use this model is AdaBag.",0.9813563102352432
How i use Radial Basis Function Network?,Radial Basis Function Network is implemented in Caret under the library RSNNS. The method in Caret to use this model is rbf.,1.0025303270055788
