Title,Description
Conditional Inference Tree,"Conditional Inference Tree is a model of machine learning used for classification and regression. Conditional Inference Tree is implemented in Caret under the library party. The method in Caret to use this model is ctree2. Conditional Inference Tree have the following tuning parameters: maxdepth, mincriterion."
Continuation Ratio Model for Ordinal Data,"Continuation Ratio Model for Ordinal Data is a model of machine learning used for classification. Continuation Ratio Model for Ordinal Data is implemented in Caret under the library VGAM. The method in Caret to use this model is vglmContRatio. Continuation Ratio Model for Ordinal Data have the following tuning parameters: parallel, link."
Cost-Sensitive C5.0,"Cost-Sensitive C5.0 is a model of machine learning used for classification. Cost-Sensitive C5.0 is implemented in Caret under the library C50, plyr. The method in Caret to use this model is C5.0Cost. Cost-Sensitive C5.0 have the following tuning parameters: trials, model, winnow, cost."
Cost-Sensitive CART,"Cost-Sensitive CART is a model of machine learning used for classification. Cost-Sensitive CART is implemented in Caret under the library rpart, plyr. The method in Caret to use this model is rpartCost. Cost-Sensitive CART have the following tuning parameters: cp, Cost."
Cubist,"Cubist is a model of machine learning used for regression. Cubist is implemented in Caret under the library Cubist. The method in Caret to use this model is cubist. Cubist have the following tuning parameters: committees, neighbors."
Cumulative Probability Model for Ordinal Data,"Cumulative Probability Model for Ordinal Data is a model of machine learning used for classification. Cumulative Probability Model for Ordinal Data is implemented in Caret under the library VGAM. The method in Caret to use this model is vglmCumulative. Cumulative Probability Model for Ordinal Data have the following tuning parameters: parallel, link."
DeepBoost,"DeepBoost is a model of machine learning used for classification. DeepBoost is implemented in Caret under the library deepboost. The method in Caret to use this model is deepboost. DeepBoost have the following tuning parameters: num_iter, tree_depth, beta, lambda, loss_type."
Diagonal Discriminant Analysis,"Diagonal Discriminant Analysis is a model of machine learning used for classification. Diagonal Discriminant Analysis is implemented in Caret under the library sparsediscrim. The method in Caret to use this model is dda. Diagonal Discriminant Analysis have the following tuning parameters: model, shrinkage."
Distance Weighted Discrimination with Polynomial Kernel,"Distance Weighted Discrimination with Polynomial Kernel is a model of machine learning used for classification. Distance Weighted Discrimination with Polynomial Kernel is implemented in Caret under the library kerndwd. The method in Caret to use this model is dwdPoly. Distance Weighted Discrimination with Polynomial Kernel have the following tuning parameters: lambda, qval, degree, scale."
Distance Weighted Discrimination with Radial Basis Function Kernel,"Distance Weighted Discrimination with Radial Basis Function Kernel is a model of machine learning used for classification. Distance Weighted Discrimination with Radial Basis Function Kernel is implemented in Caret under the library kernlab, kerndwd. The method in Caret to use this model is dwdRadial. Distance Weighted Discrimination with Radial Basis Function Kernel have the following tuning parameters: lambda, qval, sigma."
Dynamic Evolving Neural-Fuzzy Inference System,"Dynamic Evolving Neural-Fuzzy Inference System is a model of machine learning used for regression. Dynamic Evolving Neural-Fuzzy Inference System is implemented in Caret under the library frbs. The method in Caret to use this model is DENFIS. Dynamic Evolving Neural-Fuzzy Inference System have the following tuning parameters: Dthr, max.iter."
Elasticnet,"Elasticnet is a model of machine learning used for regression. Elasticnet is implemented in Caret under the library elasticnet. The method in Caret to use this model is enet. Elasticnet have the following tuning parameters: fraction, lambda."
Ensembles of Generalized Linear Models,Ensembles of Generalized Linear Models is a model of machine learning used for classification and regression. Ensembles of Generalized Linear Models is implemented in Caret under the library randomGLM. The method in Caret to use this model is randomGLM. Ensembles of Generalized Linear Models have the following tuning parameters: maxInteractionOrder.
eXtreme Gradient Boosting,"eXtreme Gradient Boosting is a model of machine learning used for classification and regression. eXtreme Gradient Boosting is implemented in Caret under the library xgboost, plyr. The method in Caret to use this model is xgbDART. eXtreme Gradient Boosting have the following tuning parameters: nrounds, max_depth, eta, gamma, subsample, colsample_bytree, rate_drop, skip_drop, min_child_weight."
eXtreme Gradient Boosting,"eXtreme Gradient Boosting is a model of machine learning used for classification and regression. eXtreme Gradient Boosting is implemented in Caret under the library xgboost. The method in Caret to use this model is xgbLinear. eXtreme Gradient Boosting have the following tuning parameters: nrounds, lambda, alpha, eta."
eXtreme Gradient Boosting,"eXtreme Gradient Boosting is a model of machine learning used for classification and regression. eXtreme Gradient Boosting is implemented in Caret under the library xgboost, plyr. The method in Caret to use this model is xgbTree. eXtreme Gradient Boosting have the following tuning parameters: nrounds, max_depth, eta, gamma, colsample_bytree, min_child_weight, subsample."
Extreme Learning Machine,"Extreme Learning Machine is a model of machine learning used for classification and regression. Extreme Learning Machine is implemented in Caret under the library elmNN. The method in Caret to use this model is elm. Extreme Learning Machine have the following tuning parameters: nhid, actfun."
Factor-Based Linear Discriminant Analysis,Factor-Based Linear Discriminant Analysis is a model of machine learning used for classification. Factor-Based Linear Discriminant Analysis is implemented in Caret under the library HiDimDA. The method in Caret to use this model is RFlda. Factor-Based Linear Discriminant Analysis have the following tuning parameters: q.
Flexible Discriminant Analysis,"Flexible Discriminant Analysis is a model of machine learning used for classification. Flexible Discriminant Analysis is implemented in Caret under the library earth, mda. The method in Caret to use this model is fda. Flexible Discriminant Analysis have the following tuning parameters: degree, nprune."
Fuzzy Inference Rules by Descent Method,"Fuzzy Inference Rules by Descent Method is a model of machine learning used for regression. Fuzzy Inference Rules by Descent Method is implemented in Caret under the library frbs. The method in Caret to use this model is FIR.DM. Fuzzy Inference Rules by Descent Method have the following tuning parameters: num.labels, max.iter."
Fuzzy Rules Using Chi's Method,"Fuzzy Rules Using Chi's Method is a model of machine learning used for classification. Fuzzy Rules Using Chi's Method is implemented in Caret under the library frbs. The method in Caret to use this model is FRBCS.CHI. Fuzzy Rules Using Chi's Method have the following tuning parameters: num.labels, type.mf."
Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh,"Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh is a model of machine learning used for classification. Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh is implemented in Caret under the library frbs. The method in Caret to use this model is FH.GBML. Fuzzy Rules Using Genetic Cooperative-Competitive Learning and Pittsburgh have the following tuning parameters: max.num.rule, popu.size, max.gen."
Fuzzy Rules Using the Structural Learning Algorithm on Vague Environment,"Fuzzy Rules Using the Structural Learning Algorithm on Vague Environment is a model of machine learning used for classification. Fuzzy Rules Using the Structural Learning Algorithm on Vague Environment is implemented in Caret under the library frbs. The method in Caret to use this model is SLAVE. Fuzzy Rules Using the Structural Learning Algorithm on Vague Environment have the following tuning parameters: num.labels, max.iter, max.gen."
Fuzzy Rules via MOGUL,"Fuzzy Rules via MOGUL is a model of machine learning used for regression. Fuzzy Rules via MOGUL is implemented in Caret under the library frbs. The method in Caret to use this model is GFS.FR.MOGUL. Fuzzy Rules via MOGUL have the following tuning parameters: max.gen, max.iter, max.tune."
Fuzzy Rules via Thrift,"Fuzzy Rules via Thrift is a model of machine learning used for regression. Fuzzy Rules via Thrift is implemented in Caret under the library frbs. The method in Caret to use this model is GFS.THRIFT. Fuzzy Rules via Thrift have the following tuning parameters: popu.size, num.labels, max.gen."
Fuzzy Rules with Weight Factor,"Fuzzy Rules with Weight Factor is a model of machine learning used for classification. Fuzzy Rules with Weight Factor is implemented in Caret under the library frbs. The method in Caret to use this model is FRBCS.W. Fuzzy Rules with Weight Factor have the following tuning parameters: num.labels, type.mf."
Gaussian Process,Gaussian Process is a model of machine learning used for classification and regression. Gaussian Process is implemented in Caret under the library kernlab. The method in Caret to use this model is gaussprLinear. Gaussian Process have the following tuning parameters: None.
Gaussian Process with Polynomial Kernel,"Gaussian Process with Polynomial Kernel is a model of machine learning used for classification and regression. Gaussian Process with Polynomial Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is gaussprPoly. Gaussian Process with Polynomial Kernel have the following tuning parameters: degree, scale."
Gaussian Process with Radial Basis Function Kernel,Gaussian Process with Radial Basis Function Kernel is a model of machine learning used for classification and regression. Gaussian Process with Radial Basis Function Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is gaussprRadial. Gaussian Process with Radial Basis Function Kernel have the following tuning parameters: sigma.
Generalized Additive Model using LOESS,"Generalized Additive Model using LOESS is a model of machine learning used for classification and regression. Generalized Additive Model using LOESS is implemented in Caret under the library gam. The method in Caret to use this model is gamLoess. Generalized Additive Model using LOESS have the following tuning parameters: span, degree."
Generalized Additive Model using Splines,"Generalized Additive Model using Splines is a model of machine learning used for classification and regression. Generalized Additive Model using Splines is implemented in Caret under the library mgcv. The method in Caret to use this model is bam. Generalized Additive Model using Splines have the following tuning parameters: select, method."
Generalized Additive Model using Splines,"Generalized Additive Model using Splines is a model of machine learning used for classification and regression. Generalized Additive Model using Splines is implemented in Caret under the library mgcv. The method in Caret to use this model is gam. Generalized Additive Model using Splines have the following tuning parameters: select, method."
Generalized Additive Model using Splines,Generalized Additive Model using Splines is a model of machine learning used for classification and regression. Generalized Additive Model using Splines is implemented in Caret under the library gam. The method in Caret to use this model is gamSpline. Generalized Additive Model using Splines have the following tuning parameters: df.
Generalized Linear Model,Generalized Linear Model is a model of machine learning used for classification and regression. Generalized Linear Model is implemented in Caret under the library . The method in Caret to use this model is glm. Generalized Linear Model have the following tuning parameters: None.
Generalized Linear Model with Stepwise Feature Selection,Generalized Linear Model with Stepwise Feature Selection is a model of machine learning used for classification and regression. Generalized Linear Model with Stepwise Feature Selection is implemented in Caret under the library MASS. The method in Caret to use this model is glmStepAIC. Generalized Linear Model with Stepwise Feature Selection have the following tuning parameters: None.
Generalized Partial Least Squares,Generalized Partial Least Squares is a model of machine learning used for classification. Generalized Partial Least Squares is implemented in Caret under the library gpls. The method in Caret to use this model is gpls. Generalized Partial Least Squares have the following tuning parameters: K.prov.
Genetic Lateral Tuning and Rule Selection of Linguistic Fuzzy Systems,"Genetic Lateral Tuning and Rule Selection of Linguistic Fuzzy Systems is a model of machine learning used for regression. Genetic Lateral Tuning and Rule Selection of Linguistic Fuzzy Systems is implemented in Caret under the library frbs. The method in Caret to use this model is GFS.LT.RS. Genetic Lateral Tuning and Rule Selection of Linguistic Fuzzy Systems have the following tuning parameters: popu.size, num.labels, max.gen."
glmnet,"glmnet is a model of machine learning used for classification and regression. glmnet is implemented in Caret under the library glmnet, Matrix. The method in Caret to use this model is glmnet. glmnet have the following tuning parameters: alpha, lambda."
glmnet,"glmnet is a model of machine learning used for classification and regression. glmnet is implemented in Caret under the library h2o. The method in Caret to use this model is glmnet_h2o. glmnet have the following tuning parameters: alpha, lambda."
Gradient Boosting Machines,"Gradient Boosting Machines is a model of machine learning used for classification and regression. Gradient Boosting Machines is implemented in Caret under the library h2o. The method in Caret to use this model is gbm_h2o. Gradient Boosting Machines have the following tuning parameters: ntrees, max_depth, min_rows, learn_rate, col_sample_rate."
Greedy Prototype Selection,"Greedy Prototype Selection is a model of machine learning used for classification. Greedy Prototype Selection is implemented in Caret under the library proxy, protoclass. The method in Caret to use this model is protoclass. Greedy Prototype Selection have the following tuning parameters: eps, Minkowski."
Heteroscedastic Discriminant Analysis,"Heteroscedastic Discriminant Analysis is a model of machine learning used for classification. Heteroscedastic Discriminant Analysis is implemented in Caret under the library hda. The method in Caret to use this model is hda. Heteroscedastic Discriminant Analysis have the following tuning parameters: gamma, lambda, newdim."
High Dimensional Discriminant Analysis,"High Dimensional Discriminant Analysis is a model of machine learning used for classification. High Dimensional Discriminant Analysis is implemented in Caret under the library HDclassif. The method in Caret to use this model is hdda. High Dimensional Discriminant Analysis have the following tuning parameters: threshold, model."
High-Dimensional Regularized Discriminant Analysis,"High-Dimensional Regularized Discriminant Analysis is a model of machine learning used for classification. High-Dimensional Regularized Discriminant Analysis is implemented in Caret under the library sparsediscrim. The method in Caret to use this model is hdrda. High-Dimensional Regularized Discriminant Analysis have the following tuning parameters: gamma, lambda, shrinkage_type."
Hybrid Neural Fuzzy Inference System,"Hybrid Neural Fuzzy Inference System is a model of machine learning used for regression. Hybrid Neural Fuzzy Inference System is implemented in Caret under the library frbs. The method in Caret to use this model is HYFIS. Hybrid Neural Fuzzy Inference System have the following tuning parameters: num.labels, max.iter."
Independent Component Regression,Independent Component Regression is a model of machine learning used for regression. Independent Component Regression is implemented in Caret under the library fastICA. The method in Caret to use this model is icr. Independent Component Regression have the following tuning parameters: n.comp.
k-Nearest Neighbors,"k-Nearest Neighbors is a model of machine learning used for classification and regression. k-Nearest Neighbors is implemented in Caret under the library kknn. The method in Caret to use this model is kknn. k-Nearest Neighbors have the following tuning parameters: kmax, distance, kernel."
k-Nearest Neighbors,k-Nearest Neighbors is a model of machine learning used for classification and regression. k-Nearest Neighbors is implemented in Caret under the library . The method in Caret to use this model is knn. k-Nearest Neighbors have the following tuning parameters: k.
L2 Regularized Linear Support Vector Machines with Class Weights,"L2 Regularized Linear Support Vector Machines with Class Weights is a model of machine learning used for classification. L2 Regularized Linear Support Vector Machines with Class Weights is implemented in Caret under the library LiblineaR. The method in Caret to use this model is svmLinearWeights2. L2 Regularized Linear Support Vector Machines with Class Weights have the following tuning parameters: cost, Loss, weight."
L2 Regularized Support Vector Machine (dual) with Linear Kernel,"L2 Regularized Support Vector Machine (dual) with Linear Kernel is a model of machine learning used for classification and regression. L2 Regularized Support Vector Machine (dual) with Linear Kernel is implemented in Caret under the library LiblineaR. The method in Caret to use this model is svmLinear3. L2 Regularized Support Vector Machine (dual) with Linear Kernel have the following tuning parameters: cost, Loss."
Learning Vector Quantization,"Learning Vector Quantization is a model of machine learning used for classification. Learning Vector Quantization is implemented in Caret under the library class. The method in Caret to use this model is lvq. Learning Vector Quantization have the following tuning parameters: size, k."
Least Angle Regression,Least Angle Regression is a model of machine learning used for regression. Least Angle Regression is implemented in Caret under the library lars. The method in Caret to use this model is lars. Least Angle Regression have the following tuning parameters: fraction.
Least Angle Regression,Least Angle Regression is a model of machine learning used for regression. Least Angle Regression is implemented in Caret under the library lars. The method in Caret to use this model is lars2. Least Angle Regression have the following tuning parameters: step.
Least Squares Support Vector Machine,Least Squares Support Vector Machine is a model of machine learning used for classification. Least Squares Support Vector Machine is implemented in Caret under the library kernlab. The method in Caret to use this model is lssvmLinear. Least Squares Support Vector Machine have the following tuning parameters: tau.
Least Squares Support Vector Machine with Polynomial Kernel,"Least Squares Support Vector Machine with Polynomial Kernel is a model of machine learning used for classification. Least Squares Support Vector Machine with Polynomial Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is lssvmPoly. Least Squares Support Vector Machine with Polynomial Kernel have the following tuning parameters: degree, scale, tau."
Least Squares Support Vector Machine with Radial Basis Function Kernel,"Least Squares Support Vector Machine with Radial Basis Function Kernel is a model of machine learning used for classification. Least Squares Support Vector Machine with Radial Basis Function Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is lssvmRadial. Least Squares Support Vector Machine with Radial Basis Function Kernel have the following tuning parameters: sigma, tau."
Linear Discriminant Analysis,Linear Discriminant Analysis is a model of machine learning used for classification. Linear Discriminant Analysis is implemented in Caret under the library MASS. The method in Caret to use this model is lda. Linear Discriminant Analysis have the following tuning parameters: None.
Linear Discriminant Analysis,Linear Discriminant Analysis is a model of machine learning used for classification. Linear Discriminant Analysis is implemented in Caret under the library MASS. The method in Caret to use this model is lda2. Linear Discriminant Analysis have the following tuning parameters: dimen.
Linear Discriminant Analysis with Stepwise Feature Selection,"Linear Discriminant Analysis with Stepwise Feature Selection is a model of machine learning used for classification. Linear Discriminant Analysis with Stepwise Feature Selection is implemented in Caret under the library klaR, MASS. The method in Caret to use this model is stepLDA. Linear Discriminant Analysis with Stepwise Feature Selection have the following tuning parameters: maxvar, direction."
Linear Distance Weighted Discrimination,"Linear Distance Weighted Discrimination is a model of machine learning used for classification. Linear Distance Weighted Discrimination is implemented in Caret under the library kerndwd. The method in Caret to use this model is dwdLinear. Linear Distance Weighted Discrimination have the following tuning parameters: lambda, qval."
Linear Regression,Linear Regression is a model of machine learning used for regression. Linear Regression is implemented in Caret under the library . The method in Caret to use this model is lm. Linear Regression have the following tuning parameters: intercept.
Linear Regression with Backwards Selection,Linear Regression with Backwards Selection is a model of machine learning used for regression. Linear Regression with Backwards Selection is implemented in Caret under the library leaps. The method in Caret to use this model is leapBackward. Linear Regression with Backwards Selection have the following tuning parameters: nvmax.
Linear Regression with Forward Selection,Linear Regression with Forward Selection is a model of machine learning used for regression. Linear Regression with Forward Selection is implemented in Caret under the library leaps. The method in Caret to use this model is leapForward. Linear Regression with Forward Selection have the following tuning parameters: nvmax.
Linear Regression with Stepwise Selection,Linear Regression with Stepwise Selection is a model of machine learning used for regression. Linear Regression with Stepwise Selection is implemented in Caret under the library leaps. The method in Caret to use this model is leapSeq. Linear Regression with Stepwise Selection have the following tuning parameters: nvmax.
Linear Regression with Stepwise Selection,Linear Regression with Stepwise Selection is a model of machine learning used for regression. Linear Regression with Stepwise Selection is implemented in Caret under the library MASS. The method in Caret to use this model is lmStepAIC. Linear Regression with Stepwise Selection have the following tuning parameters: None.
Linear Support Vector Machines with Class Weights,"Linear Support Vector Machines with Class Weights is a model of machine learning used for classification. Linear Support Vector Machines with Class Weights is implemented in Caret under the library e1071. The method in Caret to use this model is svmLinearWeights. Linear Support Vector Machines with Class Weights have the following tuning parameters: cost, weight."
Localized Linear Discriminant Analysis,Localized Linear Discriminant Analysis is a model of machine learning used for classification. Localized Linear Discriminant Analysis is implemented in Caret under the library klaR. The method in Caret to use this model is loclda. Localized Linear Discriminant Analysis have the following tuning parameters: k.
Logic Regression,"Logic Regression is a model of machine learning used for classification and regression. Logic Regression is implemented in Caret under the library LogicReg. The method in Caret to use this model is logreg. Logic Regression have the following tuning parameters: treesize, ntrees."
Logistic Model Trees,Logistic Model Trees is a model of machine learning used for classification. Logistic Model Trees is implemented in Caret under the library RWeka. The method in Caret to use this model is LMT. Logistic Model Trees have the following tuning parameters: iter.
Maximum Uncertainty Linear Discriminant Analysis,Maximum Uncertainty Linear Discriminant Analysis is a model of machine learning used for classification. Maximum Uncertainty Linear Discriminant Analysis is implemented in Caret under the library HiDimDA. The method in Caret to use this model is Mlda. Maximum Uncertainty Linear Discriminant Analysis have the following tuning parameters: None.
Mixture Discriminant Analysis,Mixture Discriminant Analysis is a model of machine learning used for classification. Mixture Discriminant Analysis is implemented in Caret under the library mda. The method in Caret to use this model is mda. Mixture Discriminant Analysis have the following tuning parameters: subclasses.
Model Averaged Naive Bayes Classifier,"Model Averaged Naive Bayes Classifier is a model of machine learning used for classification. Model Averaged Naive Bayes Classifier is implemented in Caret under the library bnclassify. The method in Caret to use this model is manb. Model Averaged Naive Bayes Classifier have the following tuning parameters: smooth, prior."
Model Averaged Neural Network,"Model Averaged Neural Network is a model of machine learning used for classification and regression. Model Averaged Neural Network is implemented in Caret under the library nnet. The method in Caret to use this model is avNNet. Model Averaged Neural Network have the following tuning parameters: size, decay, bag."
Model Rules,"Model Rules is a model of machine learning used for regression. Model Rules is implemented in Caret under the library RWeka. The method in Caret to use this model is M5Rules. Model Rules have the following tuning parameters: pruned, smoothed."
Model Tree,"Model Tree is a model of machine learning used for regression. Model Tree is implemented in Caret under the library RWeka. The method in Caret to use this model is M5. Model Tree have the following tuning parameters: pruned, smoothed, rules."
Monotone Multi-Layer Perceptron Neural Network,"Monotone Multi-Layer Perceptron Neural Network is a model of machine learning used for classification and regression. Monotone Multi-Layer Perceptron Neural Network is implemented in Caret under the library monmlp. The method in Caret to use this model is monmlp. Monotone Multi-Layer Perceptron Neural Network have the following tuning parameters: hidden1, n.ensemble."
Multi-Layer Perceptron,Multi-Layer Perceptron is a model of machine learning used for classification and regression. Multi-Layer Perceptron is implemented in Caret under the library RSNNS. The method in Caret to use this model is mlp. Multi-Layer Perceptron have the following tuning parameters: size.
Multi-Layer Perceptron,"Multi-Layer Perceptron is a model of machine learning used for classification and regression. Multi-Layer Perceptron is implemented in Caret under the library RSNNS. The method in Caret to use this model is mlpWeightDecay. Multi-Layer Perceptron have the following tuning parameters: size, decay."
